AA,PRNIDM,PRIDM,PRNIDF,PRIDF,PoRHM,PoRNIDiM,PoRIDiM,PoRHF,PoRNIDiF,PoRIDiF,DNIDM,DIDM,DNIDF,DIDF
1,0,0,0,0,0.00023,0.00555,0.00128,0.00015,0.00346,0.00098,0,0,0,0
2,0,0,0,0,0.00023,0.00562,0.00129,0.00015,0.00349,0.00098,0,0,0,0
3,0,0,0,0,0.00023,0.00563,0.00129,0.00015,0.00349,0.00099,0,0,0,0
4,0,0,0,0,0.00023,0.00564,0.00129,0.00015,0.00349,0.00099,0,0,0,0
5,0,0,0,0,0.00023,0.00565,0.00129,0.00015,0.0035,0.00099,0,0,0,0
6,0,0,0,0,0.00023,0.00566,0.00129,0.00015,0.00351,0.00099,0,0,0,0
7,0,0,0,0,0.00023,0.00567,0.00129,0.00015,0.00351,0.00099,0,0,0,0
8,0,0,0,0,0.00023,0.00569,0.00129,0.00015,0.00352,0.00099,0,0,0,0
9,0,0,0,0,0.00023,0.0057,0.0013,0.00015,0.00353,0.00099,0,0,0,0
10,0,0,0,0,0.00024,0.00572,0.0013,0.00015,0.00354,0.00099,0,0,0,0
11,0,0,0,0,0.00024,0.00573,0.0013,0.00015,0.00355,0.001,0,0,0,0
12,0,0,0,0,0.00024,0.00575,0.0013,0.00016,0.00356,0.001,0,0,0,0
13,0,0,0,0,0.00024,0.00578,0.00131,0.00016,0.00357,0.001,0,0,0,0
14,0,0,0,0,0.00024,0.0058,0.00131,0.00016,0.00359,0.00101,0,0,0,0
15,0.00023,0,0.00017,0,0.00024,0.00584,0.00132,0.00016,0.00361,0.00101,0.00017,0,0.0001,0
16,0.00024,0,0.00017,0,0.00024,0.00587,0.00132,0.00016,0.00363,0.00101,0.00017,0,0.0001,0
17,0.00026,0,0.00018,0,0.00024,0.0059,0.00133,0.00016,0.00364,0.00102,0.00017,0,0.0001,0
18,0.00028,0,0.00019,0,0.00024,0.00594,0.00133,0.00017,0.00366,0.00102,0.00017,0,0.0001,0
19,0.00029,0,0.00019,0,0.00025,0.00598,0.00134,0.00017,0.00369,0.00103,0.00017,0,0.0001,0
20,0.00031,0,0.0002,0,0.00025,0.00604,0.00135,0.00017,0.00372,0.00104,0.00017,0,0.0001,0
21,0.00033,0,0.00021,0,0.00026,0.00608,0.00136,0.00018,0.00375,0.00105,0.00017,0,0.0001,0
22,0.00035,0,0.00021,0,0.00026,0.00615,0.00137,0.00018,0.00379,0.00105,0.00017,0,0.0001,0
23,0.00037,0,0.00022,0,0.00027,0.00622,0.00137,0.00019,0.00382,0.00106,0.00017,0,0.0001,0
24,0.00039,0,0.00022,0,0.00028,0.00628,0.00139,0.0002,0.00387,0.00107,0.00017,0,0.0001,0
25,0.0004,0,0.00023,0,0.00029,0.00637,0.00141,0.00021,0.00392,0.00109,0.00017,0,0.0001,0
26,0.00041,0,0.00024,0,0.00031,0.00646,0.00143,0.00022,0.00397,0.00111,0.00017,0,0.0001,0
27,0.00043,0,0.00024,0,0.00032,0.00655,0.00145,0.00023,0.00404,0.00113,0.00017,0,0.0001,0
28,0.00045,0,0.00024,0,0.00034,0.00667,0.00147,0.00024,0.00412,0.00115,0.00017,0,0.0001,0
29,0.00047,0,0.00025,0,0.00036,0.00679,0.0015,0.00025,0.00419,0.00118,0.00017,0,0.00016,0
30,0.00049,0,0.00025,0,0.00039,0.00693,0.00153,0.00028,0.00428,0.00121,0.00019,0,0.00024,0
31,0.00051,0,0.00027,0,0.00041,0.00708,0.00157,0.0003,0.00438,0.00123,0.00021,0,0.00033,0
32,0.00053,0,0.00029,0,0.00045,0.00725,0.00161,0.00033,0.00449,0.00127,0.00026,0,0.00043,0
33,0.00054,0,0.00031,0,0.00049,0.00744,0.00166,0.00037,0.00461,0.00132,0.00032,0,0.00055,0
34,0.00056,0,0.00033,0,0.00054,0.00765,0.00171,0.00041,0.00476,0.00137,0.00039,0,0.00068,0
35,0.00057,0,0.00035,0,0.0006,0.00788,0.00178,0.00046,0.00492,0.00143,0.00049,0,0.00081,0
36,0.00061,0,0.00038,0,0.00067,0.00815,0.00185,0.00052,0.00509,0.0015,0.0006,0,0.00096,0
37,0.00065,0,0.0004,0,0.00075,0.00843,0.00193,0.00059,0.00529,0.00157,0.00074,0,0.0011,0
38,0.00069,0,0.00043,0,0.00085,0.00875,0.00202,0.00068,0.00551,0.00167,0.00089,0,0.00125,0
